id,history_item,visit_time,title,load_successful,http_non_get,synthesized,redirect_source,redirect_destination,origin,generation,attributes,score
25461,15256,2023-01-24 13:39:19.506775,"Catalunya afronta una semana de crudo invierno: ¿Nevará en L'Hospitalet, Cornellà, Esplugues y el Baix Llobregat? - El Tot L'Hospitalet - Baix Llobregat",1,0,0,,,0,6993,0,100
25462,15257,2023-01-24 15:13:16.957180,dani al es años - Buscar con Google,1,0,0,,,0,6994,0,100
25463,15257,2023-01-24 15:13:17.747260,dani al es años - Buscar con Google,1,0,0,,,0,6994,3,0
25464,15258,2023-01-24 15:13:51.697164,dani al es años - Buscar con Google,1,0,0,,,0,6994,1,0
25465,15257,2023-01-24 15:13:55.863732,dani al es años - Buscar con Google,1,0,0,,,0,6994,3,0
25466,15259,2023-01-24 15:13:56.243802,dani alves - Buscar con Google,1,0,0,,,0,6994,0,100
25467,15259,2023-01-24 15:13:57.041189,dani alves - Buscar con Google,1,0,0,,,0,6994,3,0
25468,15260,2023-01-24 16:55:39.814078,cap torre tomeo - Buscar con Google,1,0,0,,,0,6996,0,100
25469,15260,2023-01-24 16:55:40.857975,cap torre tomeo - Buscar con Google,1,0,0,,,0,6997,3,0
25470,15261,2023-01-25 12:56:44.246589,debate la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6997,0,100
25471,15261,2023-01-25 12:56:58.049451,debate la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6997,3,0
25472,15262,2023-01-25 12:57:42.252983,"Ver el Debate 1 de 'La isla de las tentaciones' (24/01/23), online y completo en Telecinco",1,0,0,,,0,6998,0,100
25473,15262,2023-01-25 12:57:42.595341,"Ver el Debate 1 de 'La isla de las tentaciones' (24/01/23), online y completo en Telecinco",1,0,0,,,0,6998,3,0
25474,15262,2023-01-25 18:41:42.295062,"Ver el Debate 1 de 'La isla de las tentaciones' (24/01/23), online y completo en Telecinco",1,0,0,,,0,7007,1,0
25475,15262,2023-01-25 18:41:52.965685,"Ver el Debate 1 de 'La isla de las tentaciones' (24/01/23), online y completo en Telecinco",1,0,0,,,0,7007,2,0
25476,15053,2023-01-26 09:43:47.350618,olga camargo - Buscar con Google,1,0,0,,,0,7007,0,100
25477,15053,2023-01-26 09:43:48.302771,olga camargo - Buscar con Google,1,0,0,,,0,7007,3,0
25478,15055,2023-01-26 09:43:50.272804,olga camargo - Buscar con Google,1,0,0,,,0,7007,1,0
25479,15263,2023-01-26 22:35:03.983016,inpost punto pack - Buscar con Google,1,0,0,,,0,7008,0,100
25480,15263,2023-01-26 22:35:04.660659,inpost punto pack - Buscar con Google,1,0,0,,,0,7008,3,0
25481,15264,2023-01-26 22:35:08.533193,,1,0,0,,25482.0,0,7008,0,100
25482,15265,2023-01-26 22:35:08.533639,Enviar un paquete | Mondial Relay es ahora InPost,1,0,0,25481.0,,0,7008,0,100
25483,15169,2023-01-26 22:35:18.489319,Buscar Punto Pack o Locker | Mondial Relay ahora es InPost,1,0,0,,,0,7008,0,100
