Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,ZBILLCYCLEEND,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWWANIN,ZWWANOUT
167896,5,3,0,0,1,662,,2023-02-11 15:03:39.775247,0.0,0.0,826967.0,51438.0
167897,5,7,0,0,1,431,,2023-02-11 15:03:39.754981,0.0,0.0,47222.0,30087.0
167898,5,8,0,0,1,888,,2023-02-11 16:11:14.602629,0.0,0.0,16914.0,6339.0
167899,5,9,0,0,1,124,,2023-02-11 16:11:14.340940,0.0,0.0,5595.0,1986.0
167900,5,6,0,0,1,182,,2023-02-11 16:11:14.776737,0.0,0.0,24573.0,5233.0
167901,5,1,0,0,1,840,,2023-02-11 16:11:14.783668,0.0,0.0,423.0,203.0
167902,5,1,0,0,1,841,,2023-02-11 16:11:17.416467,0.0,0.0,7227.0,2237.0
167903,5,4,0,0,1,185,,2023-02-11 16:11:17.363678,0.0,0.0,7686038.0,103607.0
167904,5,2,0,0,1,1015,,2023-02-11 16:14:57.269531,0.0,0.0,6338155.0,30733.0
167905,5,12,0,0,1,125,,2023-02-11 16:15:26.794659,0.0,0.0,1169055.0,197963.0
167906,5,2,0,0,1,854,,2023-02-11 16:22:34.051597,0.0,0.0,1089.0,928.0
167907,5,1,0,0,1,903,,2023-02-11 16:22:33.876137,0.0,0.0,8924.0,12463.0
167908,5,3,0,0,1,374,,2023-02-11 16:22:33.339701,0.0,0.0,56712.0,24205.0
167909,5,8,0,0,1,66,,2023-02-11 16:23:17.762475,0.0,0.0,204014.0,70650.0
167910,5,20,0,0,1,56,,2023-02-11 16:36:57.722945,0.0,0.0,6685.0,5512.0
167911,5,2,0,0,1,224,,2023-02-11 18:52:24.891873,0.0,0.0,3362789.0,45006.0
167912,5,2,0,0,1,553,,2023-02-11 19:12:02.966342,0.0,0.0,28619.0,5482.0
167913,5,21,0,0,1,35,,2023-02-11 20:15:23.923885,0.0,0.0,40838.0,34790.0
167914,5,73,0,0,1,39,,2023-02-11 20:59:51.505995,0.0,0.0,356092.0,639521.0
167915,5,8,0,0,1,36,,2023-02-11 21:03:29.119287,0.0,0.0,4855.0,1798.0
167916,5,10,0,0,1,847,,2023-02-11 21:03:30.177573,0.0,0.0,170077.0,42130.0
167917,5,110,0,0,1,47,,2023-02-11 21:03:30.498200,0.0,0.0,8954576.0,829081.0
167918,5,50,0,0,1,372,,2023-02-11 21:11:28.269585,0.0,0.0,769047.0,195264.0
167919,5,42,0,0,1,67,,2023-02-11 21:11:26.216096,0.0,0.0,39884.0,13839.0
167920,5,1,0,0,1,88,,2023-02-11 21:11:30.222480,0.0,0.0,10786.0,2268.0
167921,5,5,0,0,1,95,,2023-02-11 21:19:46.853065,0.0,0.0,3169.0,1428.0
167922,5,146,0,0,1,76,,2023-02-11 21:19:45.907905,0.0,0.0,695756.0,281164.0
167923,5,8,0,0,1,96,,2023-02-11 21:20:21.080570,0.0,0.0,199699.0,30291.0
167924,5,64,0,0,1,33,,2023-02-11 21:31:55.436786,0.0,0.0,4303334.0,525167.0
167925,5,4,0,0,1,219,,2023-02-11 21:57:48.606692,0.0,0.0,39659.0,9394.0
167926,5,1,0,0,1,99,,2023-02-11 21:57:59.457155,0.0,0.0,13831.0,13637.0
167927,5,2,0,0,1,117,,2023-02-11 22:01:35.146248,0.0,0.0,9457.0,4018.0
167928,5,2,0,0,1,852,,2023-02-11 22:01:34.551883,0.0,0.0,8763.0,3343.0
167929,5,6,0,0,1,52,,2023-02-11 22:01:35.906533,0.0,0.0,1656070.0,38764.0
167930,5,5,0,0,1,430,,2023-02-11 22:06:36.158620,0.0,0.0,2009.0,704.0
167931,5,3,0,0,1,889,,2023-02-11 22:06:37.858618,0.0,0.0,20884.0,12860.0
167932,5,4,0,0,1,71,,2023-02-11 23:13:50.225577,0.0,0.0,23703.0,12063.0
167933,5,7,0,0,1,250,,2023-02-11 23:13:49.869124,0.0,0.0,27045.0,22424.0
167934,5,33,0,0,1,848,,2023-02-11 23:14:16.091196,0.0,0.0,777102.0,225401.0
167935,5,14,0,0,1,499,,2023-02-11 23:14:17.386864,0.0,0.0,203977.0,58236.0
167936,5,4,0,0,1,84,,2023-02-11 23:14:17.265827,0.0,0.0,89162.0,42577.0
167937,5,19,0,0,1,78,,2023-02-11 23:14:17.242846,0.0,0.0,14634.0,5253.0
167938,5,3,0,0,1,473,,2023-02-11 23:14:34.062155,0.0,0.0,7002.0,5137.0
167939,5,2,0,0,1,189,,2023-02-11 23:14:32.968948,0.0,0.0,2198.0,842.0
167940,5,4,0,0,1,853,,2023-02-11 23:14:33.277428,0.0,0.0,70481.0,20497.0
167941,5,2,0,0,1,665,,2023-02-11 23:14:31.938735,0.0,0.0,7481.0,4659.0
167942,5,1,0,0,1,757,,2023-02-11 23:21:25.202567,0.0,0.0,223.0,142.0
167943,5,1,0,0,1,893,,2023-02-11 23:21:25.486053,0.0,0.0,14340.0,2660.0
167944,5,1,0,0,1,572,,2023-02-11 23:21:25.418342,0.0,0.0,56052.0,4428.0
